IRI_KEY,FIPS,NAME,State_Name,REGION,DIVISION,Zip_name,Zip_key,per_kids18,per_kids9,per_old,per_white,per_black,hhsize,Per_college,per_hh_less20K,median_inc,capita_inc,Share_Camp,Share_Other,Share_PL,Share_prog
237861,37025,Cabarrus County,North Carolina,SOUTH,5,28083 Kannapolis,28083,0.23,0.13,0.17,0.76,0.19,2.43,0.11,0.26,34911,17031,0.672578917,0.033423624,0.146427032,0.147570428
237976,44005,Newport County,Rhode Island,EAST,1,02842 Middletown,2842,0.25,0.15,0.15,0.89,0.05,2.44,0.34,0.13,50921,25781,0.362881641,0.124063867,0.100349703,0.412704789
238022,26163,Wayne County,Michigan,MIDWEST,3,48126 Dearborn,48126,0.32,0.2,0.13,0.8,0.01,2.97,0.14,0.31,31159,14637,0.536575347,0.068824073,0.282090565,0.112510014
238131,6013,Contra Costa County,California,WEST,9,94565 Pittsburg,94565,0.31,0.18,0.08,0.44,0.17,3.19,0.13,0.18,48523,17809,0.510603355,0.105349551,0.056879964,0.32716713
238254,51810,Virginia Beach city,Virginia,SOUTH,5,23464 Virginia Beach,23464,0.29,0.15,0.07,0.65,0.21,2.96,0.29,0.1,53486,20495,0.683720414,0.090371805,0.062967647,0.162940135
238447,48085,Collin County,Texas,SOUTH,7,75074 Plano,75074,0.28,0.16,0.06,0.72,0.08,2.87,0.26,0.11,54000,23040,0.596347142,0.08405681,0.107326559,0.21226949
238476,39139,Richland County,Ohio,MIDWEST,3,44875 Shelby,44875,0.27,0.13,0.16,0.98,0.01,2.49,0.09,0.22,39479,17618,0.670347525,0.026798209,0.168584811,0.134269456
238481,48113,Dallas County,Texas,SOUTH,7,75040 Garland,75040,0.33,0.18,0.06,0.63,0.14,3.25,0.18,0.12,51679,18507,0.543655607,0.02775724,0.351758852,0.076828301
238482,42045,Delaware County,Pennsylvania,EAST,2,19036 Glenolden,19036,0.24,0.13,0.17,0.94,0.04,2.5,0.11,0.18,42998,19727,0.44897342,0.048424353,0.152388386,0.350213841
238522,25015,Hampshire County,Massachusetts,EAST,1,01082 Ware,1082,0.25,0.13,0.15,0.96,0.01,2.42,0.14,0.24,37438,18993,0.387923647,0.11934801,0.206521406,0.286206937
238621,48257,Kaufman County,Texas,SOUTH,7,75160 Terrell,75160,0.28,0.15,0.12,0.65,0.24,2.8,0.12,0.26,38986,18094,0.659451132,0.033523205,0.238849501,0.068176162
238693,51800,Suffolk city,Virginia,SOUTH,5,23434 Suffolk,23434,0.28,0.15,0.12,0.48,0.5,2.64,0.15,0.29,35211,17146,0.651500068,0.101089868,0.063405051,0.184005014
